,New_NO
83895,quiet
83897,restaurants
83899,restaurants
83907,food
83908,safe
83911,restaurants
83912,safe
83926,restaurants
83930,restaurants
83931,restaurants
83936,restaurants
83943,far
83945,food restaurants
83946,restaurants
83951,quiet
83960,safe
83961,old
83962,safe
83966,old old
83972,food
83973,quiet
83979,restaurants quiet safe
83981,restaurants
84004,quiet
84015,quiet
84020,quiet
84022,restaurants
84025,old
84027,far
84031,restaurants
84036,restaurants
84040,quiet
84047,quiet old
84052,restaurants markets food
84053,restaurants
84054,quiet
84055,restaurants
84056,restaurants
84062,restaurants
84065,restaurants
84066,restaurants
84067,food
84068,restaurants
84074,restaurants
84076,restaurants
84077,food restaurants
84082,quiet
84084,markets
84086,restaurants
84091,safe
84094,restaurants
84099,restaurants
84103,restaurants
84116,restaurants
84120,restaurants
84121,markets
84144,restaurants
84160,restaurants
84162,traffic
84166,restaurants
84167,restaurants
84173,quiet old
84179,safe
84181,quiet restaurants
84184,quiet
84193,restaurants
84200,food
84205,safe old
84212,restaurants
84216,food
84219,food
84222,quiet food
84230,food
84234,restaurants
84235,restaurants quiet
84236,restaurants
84240,far restaurants
84244,quiet food
84246,restaurants old
84247,quiet quiet
84249,quiet markets
84256,far
84258,restaurants
84266,quiet
84289,restaurants quiet restaurants
84291,restaurants restaurants
84292,food
84293,restaurants
84295,food
84297,food
84308,restaurants
84313,safe
84317,quiet
84328,restaurants
84331,restaurants
84334,restaurants restaurants food restaurants food
84336,quiet
84343,quiet
84347,restaurants
84352,restaurants markets
84353,quiet
84356,transportation restaurants
84359,safe
84360,restaurants
84363,safe restaurants
84365,restaurants
84369,quiet
84371,restaurants food
84382,quiet food restaurants
84383,restaurants
84386,food restaurants
84387,quiet
84388,quiet
84392,quiet
84393,restaurants restaurants
84394,quiet
84395,restaurants
84405,food
84407,restaurants
84410,restaurants
84413,restaurants
84414,quiet restaurants markets markets food markets markets
84415,restaurants loud
84417,safe quiet
84423,restaurants
84445,quiet
84448,safe
84449,restaurants safe
84453,restaurants
84456,markets markets
84458,restaurants
84459,restaurants
84460,restaurants
84461,quiet
84464,restaurants
84466,quiet
84471,quiet
84473,safe
84475,quiet
84481,restaurants
84491,quiet
84494,quiet
84496,safe
84497,safe
84498,food
84499,restaurants
84504,restaurants far
84506,quiet safe
84507,restaurants food
84510,restaurants
84511,quiet
84514,restaurants food
84515,restaurants
84516,restaurants
84520,quiet
84521,food
84522,restaurants
84525,restaurants
84527,restaurants
84529,restaurants
84532,food
84538,restaurants
84542,restaurants
84544,quiet
84553,safe old restaurants
84567,quiet
84575,safe quiet food
84576,safe quiet food
84578,restaurants
84585,safe quiet food
84599,quiet
84600,restaurants
84602,restaurants
84614,restaurants
84623,old
84627,restaurants
84629,far food food
84631,restaurants food
84633,restaurants
84634,safe restaurants old
84636,restaurants quiet
84639,restaurants
84643,restaurants
84650,restaurants
84655,restaurants
84657,restaurants
84658,transportation far
84660,restaurants
84662,restaurants
84663,quiet
84665,quiet restaurants restaurants
84668,restaurants
84669,quiet
84670,restaurants
84675,restaurants
84676,restaurants restaurants restaurants
84678,quiet restaurants markets
84681,food
84683,safe restaurants
84685,restaurants
84693,restaurants
84694,quiet
84700,restaurants restaurants
84706,safe
84714,markets
84722,restaurants
84727,quiet
84735,far
84737,safe
84746,restaurants
84750,quiet
84753,restaurants markets markets
84754,restaurants
84762,food
84768,restaurants
84769,food
84778,food
84779,restaurants traffic
84785,food
84788,food
84793,far
84794,markets food food
84797,restaurants
84802,restaurants
84803,restaurants
84815,restaurants
84824,quiet restaurants
84834,traffic
84835,quiet safe restaurants
84843,restaurants
84847,food
84848,restaurants food
84851,quiet restaurants
84852,food
84853,restaurants
84854,restaurants
84860,restaurants
84863,old
84865,old
84866,quiet restaurants
84869,restaurants
84871,quiet
84872,restaurants
84875,quiet
84883,restaurants
84889,restaurants
84891,far
84895,restaurants
84898,quiet
84903,food
84904,food restaurants
84912,restaurants
84914,safe
84919,restaurants restaurants food
84925,food
84927,transportation old food transportation
84936,quiet restaurants
84937,old quiet
84940,far far
84949,food
84961,restaurants
84968,food
84978,restaurants
84979,restaurants
84985,restaurants
84987,restaurants food
84998,restaurants
84999,transportation restaurants
85000,quiet
85009,restaurants restaurants
85014,safe
85023,food transportation food
85031,quiet restaurants
85033,restaurants
85035,food
85038,restaurants
85044,restaurants far
85050,restaurants
85055,restaurants
85059,restaurants
85067,restaurants
85071,restaurants
85072,restaurants
85073,old restaurants
85075,restaurants
85076,quiet safe restaurants
85079,safe
85092,restaurants
85097,restaurants food
85098,restaurants
85100,restaurants
85101,quiet
85108,quiet
85110,restaurants safe quiet traffic
85111,restaurants
85117,restaurants
85118,quiet restaurants
85119,quiet
85120,quiet
85121,far
85142,food
85144,old
85146,food safe restaurants
85148,quiet
85149,loud
85156,safe food restaurants
85160,quiet restaurants
85161,restaurants
85172,quiet
85174,quiet
85175,restaurants
85182,restaurants
85184,restaurants
85187,quiet safe
85188,quiet
85190,restaurants
85209,quiet
85211,quiet restaurants
85213,restaurants
85217,quiet
85223,safe restaurants
85233,quiet
85240,quiet
85245,far
85255,old
85256,quiet
85266,quiet restaurants
85276,quiet
85277,quiet
85282,food
85287,food
85290,quiet transportation
85294,quiet
85301,safe
85302,old quiet restaurants
85303,quiet
85308,quiet
85310,restaurants
85313,restaurants
85327,markets
85337,restaurants food
85339,restaurants
85342,restaurants
85348,food food
85351,restaurants
85355,quiet
85358,quiet safe quiet safe food
85367,restaurants
85370,quiet
85375,safe
85376,traffic safe
85380,restaurants
85385,restaurants food
85397,food
85402,restaurants
85403,restaurants
85404,markets restaurants
85407,restaurants
85409,quiet far
85410,food
85420,quiet
85427,quiet safe restaurants
85429,restaurants
85435,quiet quiet
85447,restaurants food transportation
85460,restaurants far
85469,restaurants
85473,restaurants
85475,restaurants
85479,food
85485,restaurants
85486,restaurants
85502,restaurants
85504,restaurants
85507,restaurants restaurants
85515,restaurants
85517,restaurants
85524,restaurants
85526,quiet
85528,far far
85530,quiet
85535,restaurants
85544,quiet
85545,restaurants
85547,restaurants
85551,restaurants old
85554,restaurants
85559,quiet
85569,restaurants safe
85570,restaurants
85571,restaurants quiet
85572,quiet
85574,restaurants quiet
85575,safe restaurants old
85576,traffic quiet restaurants
85578,restaurants far
85579,quiet
85582,restaurants
85584,far
85587,restaurants
85594,restaurants restaurants
85602,safe
85604,restaurants
85612,safe
85630,far
85631,restaurants
85636,restaurants
85638,quiet
85640,restaurants restaurants food
85641,quiet restaurants
85644,restaurants
85645,restaurants
85646,restaurants
85648,food
85650,restaurants food markets
85651,restaurants
85655,restaurants
85656,transportation
85657,restaurants
85661,far food restaurants food
85670,restaurants restaurants food
85671,old
85672,food
85673,restaurants restaurants food
85675,food restaurants
85676,old
85686,quiet
85691,restaurants
85692,far
85695,markets
85698,food
85700,markets
85706,restaurants
85708,safe
85710,restaurants
85713,restaurants
85717,restaurants safe
85721,restaurants restaurants
85723,food markets
85731,restaurants
85739,restaurants
85744,quiet
85750,restaurants
85757,quiet
85771,food restaurants
85773,safe food
85775,restaurants food
85788,far
85798,safe quiet restaurants
85817,far
85818,quiet transportation quiet
85819,restaurants
85824,far
85825,quiet
85827,quiet restaurants
85838,quiet
85842,far
85847,restaurants
85849,far food
85856,restaurants
85858,restaurants
85864,far
85871,restaurants food
85872,far
85877,restaurants
85882,quiet
85883,restaurants
85895,quiet
85897,restaurants
85901,restaurants
85910,restaurants
85912,restaurants
85916,restaurants
85926,quiet
85934,safe restaurants
85943,quiet
85944,quiet
85946,quiet transportation
85950,far
85952,restaurants
85955,restaurants
85965,old
85966,quiet safe
85969,quiet
85973,quiet
85980,restaurants
85986,restaurants
85990,restaurants
86001,food
86004,restaurants
86005,quiet
86008,food
86010,restaurants
86011,quiet
86013,restaurants
86015,safe
86020,safe
86024,far transportation food
86025,restaurants
86026,quiet restaurants
86027,quiet food
86028,traffic quiet
86035,quiet transportation
86037,restaurants
86038,transportation restaurants
86045,restaurants
86047,restaurants
86050,old
86051,restaurants
86053,restaurants
86074,restaurants
86076,restaurants
86078,old
86079,transportation
86080,restaurants
86084,quiet food
86088,restaurants
86090,restaurants
86096,safe
86099,restaurants
86101,food
86103,markets
86105,restaurants
86108,restaurants
86110,restaurants restaurants food food
86117,safe
86127,old markets
86135,restaurants
86138,quiet
86139,transportation
86155,quiet
86159,far far
86162,quiet
86166,food
86170,old
86172,far
86182,restaurants
86184,restaurants
86185,safe
86210,old
86212,quiet food
86215,restaurants
86225,restaurants
86230,quiet
86231,restaurants
86233,restaurants
86246,restaurants
86247,food
86248,restaurants restaurants restaurants restaurants
86249,restaurants
86251,safe
86252,restaurants far
86256,food
86260,restaurants
86264,restaurants
86265,restaurants
86269,safe quiet
86278,restaurants
86279,restaurants
86280,food
86290,quiet
86295,quiet
86297,restaurants
86300,restaurants
86305,food
86307,quiet
86312,food
86322,restaurants
86326,restaurants food markets
86329,restaurants markets
86331,restaurants food
86333,restaurants
86335,safe
86338,restaurants restaurants
86340,food
86342,restaurants
86345,quiet
86350,food quiet quiet
86352,food markets
86353,far restaurants
86355,restaurants
86357,food far
86361,far
86363,restaurants
86369,quiet far
86372,quiet
86377,far
86378,quiet
86382,food
86384,quiet
86385,safe quiet
86400,restaurants
86408,transportation
86415,safe safe restaurants
86417,old
86420,quiet restaurants food food
86421,restaurants
86422,safe
86427,restaurants
86429,far restaurants
86434,restaurants safe
86438,far
86440,quiet
86447,transportation quiet transportation
86448,quiet
86449,quiet restaurants
86453,quiet
86458,markets
86461,food
86464,food
86465,safe restaurants
86467,restaurants
86470,safe safe
86472,restaurants
86476,food
86478,quiet
86480,restaurants
86481,restaurants
86482,restaurants
86489,restaurants
86490,restaurants
86493,restaurants
86496,restaurants
86498,restaurants safe
86499,restaurants food
86503,old
86507,restaurants quiet
86513,food
86514,restaurants
86516,restaurants safe
86518,restaurants
86522,restaurants
86532,restaurants
86536,restaurants
86537,food restaurants
86544,safe
86553,restaurants
86554,restaurants food
86557,quiet
86558,quiet restaurants
86559,food
86564,quiet
86569,restaurants
86574,restaurants
86576,old
86583,far
86594,restaurants
86599,restaurants
86607,restaurants
86610,quiet restaurants
86614,restaurants restaurants
86619,restaurants restaurants food
86621,restaurants quiet
86624,restaurants
86629,food safe old
86630,safe food food
86639,food safe
86641,markets food
86643,old
86644,restaurants
86646,food
86647,food
86649,restaurants
86652,food
86671,restaurants
86674,food
86683,restaurants
86687,food
86688,food quiet
86694,restaurants
86696,quiet restaurants food restaurants
86701,food
86703,restaurants
86704,restaurants
86705,transportation
86713,restaurants traffic
86716,old
86717,restaurants food
86718,old restaurants
86724,restaurants
86736,restaurants
86737,restaurants
86741,restaurants
86743,far
86744,restaurants restaurants
86746,restaurants
86747,markets restaurants
86759,quiet
86763,restaurants food safe
86764,food restaurants restaurants
86770,restaurants
86771,transportation
86773,safe quiet restaurants
86775,food food
86780,restaurants
86784,food restaurants
86787,food restaurants
86790,restaurants
86792,food
86793,quiet safe restaurants
86796,old restaurants
86799,quiet
86805,safe
86811,restaurants
86812,restaurants
86813,restaurants
86815,restaurants
86828,restaurants
86829,food
86830,quiet restaurants safe
86832,restaurants
86833,transportation
86834,quiet
86837,food
86842,transportation loud
86848,food
86855,restaurants
86861,quiet restaurants
86863,transportation restaurants
86865,safe
86867,transportation
86868,safe
86869,food
86874,restaurants
86875,safe food restaurants
86880,old old quiet
86881,quiet
86882,food
86884,safe
86888,food
86892,food restaurants
86897,restaurants
86898,restaurants
86899,restaurants safe
86900,restaurants food safe
86903,restaurants safe
86904,far
86910,far
86916,food
86918,restaurants
86919,restaurants
86920,restaurants
86925,restaurants
86935,restaurants
86940,quiet
86946,restaurants
86947,food old
86951,restaurants
86956,restaurants
86958,food food
86960,transportation
86968,restaurants restaurants food
86971,food quiet
86973,restaurants
86985,safe
86986,restaurants
86991,restaurants
86994,food safe
87000,restaurants
87006,restaurants
87009,quiet restaurants
87011,restaurants quiet
87015,transportation
87023,safe
87029,restaurants
87034,safe
87037,quiet
87039,restaurants
87040,restaurants
87046,quiet restaurants
87048,quiet
87049,restaurants
87051,quiet
87053,restaurants
87054,restaurants far
87057,restaurants restaurants food
87060,safe
87071,restaurants
87078,safe restaurants far
87080,safe
87082,quiet
87084,quiet safe
87114,restaurants
87115,safe
87118,safe
87119,restaurants
87121,quiet
87125,safe
87134,quiet
87144,restaurants
87147,restaurants
87153,restaurants
87154,safe
87155,safe
87157,restaurants transportation
87158,quiet
87163,restaurants
87165,restaurants
87169,safe
87170,safe restaurants
87177,restaurants
87182,markets
87185,restaurants
87188,restaurants
87189,restaurants
87192,restaurants
87195,restaurants
87197,safe
87200,restaurants
87202,safe
87204,quiet food
87205,restaurants food
87206,safe
87209,food transportation
87219,transportation food
87234,food markets old
87245,safe
87246,quiet
87247,safe food
87250,safe restaurants
87261,far
87263,restaurants
87267,restaurants
87269,restaurants
87272,safe restaurants
87275,restaurants
87276,quiet
87278,safe quiet
87279,safe
87284,safe restaurants
87285,safe restaurants
87286,safe restaurants
87292,safe restaurants
87295,quiet
87297,restaurants quiet
87300,quiet safe
87303,markets
87305,restaurants
87310,quiet
87311,restaurants
87317,food food food
87334,quiet restaurants
87337,quiet restaurants
87338,quiet
87340,quiet safe
87345,food
87348,food
87359,safe far restaurants
87360,restaurants
87363,safe
87370,restaurants
87374,restaurants
87376,food
87377,old
87386,restaurants
87387,food restaurants food restaurants
87389,restaurants
87392,restaurants
87394,restaurants restaurants food
87398,restaurants
87401,quiet loud restaurants
87403,quiet
87409,food
87410,safe
87411,safe
87414,restaurants safe safe
87415,restaurants restaurants
87425,food food
87427,food restaurants
87432,food transportation
87440,restaurants
87441,restaurants
87445,quiet
87451,restaurants food
87456,old quiet
87462,food
87463,old
87471,restaurants
87476,restaurants
87478,food
87480,restaurants
87483,restaurants
87491,restaurants
87494,restaurants
87497,far
87510,far
87514,restaurants
87517,far
87518,restaurants
87525,safe
87533,safe restaurants
87542,food
87545,restaurants food
87549,restaurants
87553,restaurants food
87556,restaurants
87561,restaurants
87562,safe
87564,restaurants
87570,restaurants
87571,restaurants quiet food
87575,quiet
87576,restaurants food
87579,restaurants
87580,food restaurants
87584,restaurants
87585,old
87587,food
87590,restaurants
87601,restaurants
87602,old food
87618,restaurants
87620,quiet
87621,markets restaurants
87626,restaurants
87628,restaurants
87641,quiet safe
87645,restaurants
87650,restaurants
87652,restaurants
87653,restaurants
87659,restaurants
87660,restaurants
87663,food
87667,food
87668,food
87669,restaurants
87676,restaurants safe
87685,restaurants
87688,quiet
87703,quiet
87707,quiet
87712,restaurants
87717,restaurants far
87722,restaurants food
87724,restaurants food
87736,restaurants
87739,food
87740,safe
87742,restaurants
87747,restaurants
87748,quiet food
87749,restaurants
87751,safe
87752,food
87754,quiet
87758,transportation restaurants
87760,quiet
87762,restaurants
87765,safe
87766,safe
87768,traffic safe
87770,old
87771,restaurants
87773,quiet
87780,restaurants
87782,restaurants
87787,quiet
87788,restaurants transportation
87792,restaurants
87796,restaurants
87802,restaurants
87806,restaurants restaurants
87807,restaurants
87825,restaurants
87826,safe
87834,restaurants safe
87836,restaurants
87843,quiet
87846,quiet
87848,restaurants markets
87849,restaurants safe
87851,quiet
87852,food
87854,restaurants
87856,restaurants
87860,quiet
87863,far
87864,quiet
87865,safe transportation restaurants
87868,restaurants
87871,transportation
87875,restaurants
87890,far quiet restaurants
87891,quiet
87898,restaurants
87900,quiet
87901,restaurants restaurants
87905,food
87909,food
87917,restaurants
87919,food
87922,old
87923,food food
87925,food
87927,restaurants
87928,restaurants
87933,food
87934,food old restaurants
87935,far
87936,old
87938,safe
87939,quiet food
87940,restaurants
87942,old
87943,quiet
87944,food
87951,food
87954,old old old
87955,food
87959,restaurants
87975,old restaurants
88001,food
88002,restaurants
88004,food
88005,food
88009,old
88038,restaurants
88039,restaurants
88047,old
88057,quiet quiet restaurants
88072,restaurants
88099,old
88100,restaurants
88103,restaurants
88105,markets
88121,restaurants
88123,quiet
88127,food
88129,food
88131,quiet
88138,restaurants food
88153,markets restaurants old
88157,restaurants
88164,old
88168,restaurants
88174,food
88175,markets
88185,restaurants
88198,quiet
88200,transportation
88201,markets restaurants
88202,safe
88204,traffic
88206,restaurants
88207,old
88213,restaurants
88216,old
88217,quiet
88219,quiet
88235,restaurants
88236,transportation
88238,quiet safe
88239,restaurants
88241,quiet safe
88248,far
88258,quiet
88259,restaurants
88261,far
88264,food
88265,old quiet traffic
88269,food old food
88270,restaurants
88301,food restaurants
88302,quiet
88317,quiet restaurants quiet
88323,restaurants
88349,restaurants food
88352,restaurants
88355,restaurants
88357,far
88358,quiet
88362,far
88372,restaurants
88375,restaurants far safe
88377,restaurants food
88379,restaurants
88380,restaurants
88383,quiet far restaurants
88386,safe
88398,quiet
88410,food food
88420,restaurants
88428,safe
88430,food
88434,quiet
88442,far restaurants
88449,restaurants restaurants
88456,restaurants
88462,safe restaurants
88469,quiet
88479,transportation
88494,restaurants
88510,old old
88513,restaurants old
88519,restaurants
88521,restaurants
88524,old
88526,old
88530,quiet
88542,restaurants old
88548,far food
88549,markets
88561,food
88562,restaurants
88567,restaurants
88569,traffic
88577,restaurants
88582,quiet restaurants
88589,quiet old
88590,quiet
88601,restaurants
88610,restaurants food
88618,restaurants
88629,restaurants
88636,restaurants
88639,restaurants
88642,restaurants
88648,loud
88659,restaurants
88661,restaurants
88663,old restaurants food
88675,quiet far
88677,markets
88688,restaurants
88698,old old
88705,food transportation
88722,far
88727,quiet
88728,restaurants
88730,quiet
88732,quiet
88733,food
88736,restaurants
88741,quiet
88744,restaurants
88745,old
88757,quiet
88759,restaurants
88762,food
88765,restaurants
88772,food food
88773,restaurants
88776,old old safe
88781,restaurants food
88784,restaurants
88788,quiet
88789,restaurants
88790,old
88797,restaurants
88798,traffic
88800,restaurants
88802,quiet
88812,quiet old quiet food
88816,restaurants
88818,safe restaurants restaurants
88831,restaurants food
88840,safe restaurants
88841,restaurants
88842,restaurants
88869,restaurants
88876,restaurants
88881,quiet restaurants
88882,far
88885,food
88890,restaurants
88895,old
88898,restaurants
88902,quiet
88921,restaurants
88925,quiet far
88926,restaurants
88931,quiet far
88933,far
88934,quiet restaurants
88938,restaurants
88940,quiet
88942,quiet
88946,restaurants
88947,food
88954,restaurants
88955,food
88957,traffic
88960,quiet safe
88966,far transportation food
88973,quiet
88977,restaurants
88981,far
88983,restaurants
88984,far restaurants safe restaurants
88985,restaurants
88994,restaurants
88999,quiet
89003,old
89008,safe
89011,restaurants
89012,quiet safe restaurants
89017,restaurants
89018,restaurants
89019,safe restaurants
89021,quiet traffic old
89022,food
89028,restaurants restaurants
89032,restaurants
89036,old
89047,food
89052,quiet
89053,old
89081,safe
89083,quiet
89084,safe restaurants
89086,food markets
89087,safe
89091,safe
89100,safe
89129,restaurants
89130,restaurants old
89137,quiet far restaurants
89144,quiet
89148,far far
89164,food
89165,quiet restaurants
89173,quiet
89176,restaurants
89180,restaurants
89184,quiet
89185,restaurants
89186,food
89190,quiet
89191,food
89200,restaurants
89204,restaurants food
89206,restaurants
89214,restaurants
89216,safe
89218,old
89219,restaurants
89223,safe
89230,safe
89232,restaurants
89233,restaurants
89234,restaurants restaurants
89236,quiet
89241,quiet
89243,restaurants
89249,quiet old
89252,quiet restaurants
89254,restaurants
89260,restaurants
89277,food
89278,old
89279,restaurants restaurants
89282,restaurants
89290,safe
89291,restaurants
89297,old restaurants
89305,quiet restaurants
89308,quiet
89309,old markets
89311,quiet
89326,markets
89337,restaurants
89342,far
89348,quiet
89351,safe quiet
89355,safe restaurants restaurants
89357,food
89361,restaurants
89363,safe
89374,quiet
89377,quiet food
89378,far
89387,restaurants
89391,safe restaurants
89395,restaurants
89405,restaurants
89406,restaurants
89409,restaurants
89411,restaurants
89413,restaurants
89415,food restaurants
89416,quiet
89418,food
89420,quiet restaurants
89422,quiet
89426,quiet
89431,quiet
89441,quiet
89444,quiet safe
89448,quiet
89456,quiet
89458,quiet
89461,restaurants
89462,safe
89472,restaurants
89479,restaurants
89481,transportation
89483,restaurants
89490,quiet
89493,restaurants food markets
89496,restaurants
89499,markets markets
89501,quiet
89502,restaurants restaurants
89504,restaurants
89510,restaurants
89514,restaurants restaurants
89515,restaurants
89517,restaurants
89519,quiet restaurants
89532,far
89533,restaurants
89536,restaurants
89537,restaurants
89538,restaurants
89539,restaurants
89547,food food
89548,restaurants
89553,food
89557,safe
89558,transportation
89559,restaurants
89562,restaurants
89564,restaurants restaurants food far quiet
89565,old
89567,markets
89569,quiet
89572,restaurants
89575,restaurants
89576,food quiet
89577,quiet
89579,markets
89589,safe quiet
89591,quiet restaurants
89598,restaurants
89608,food
89614,food
89615,quiet traffic restaurants
89621,quiet
89625,restaurants
89626,restaurants food
89634,restaurants
89636,far quiet restaurants food
89639,restaurants
89643,restaurants
89646,food food markets
89647,restaurants old
89648,food
89649,restaurants restaurants
89650,quiet
89654,food
89655,far
89656,food restaurants
89662,quiet
89663,safe
89666,far
89675,far
89676,quiet restaurants
89678,restaurants
89684,quiet
89685,quiet
89692,restaurants
89700,quiet restaurants
89701,quiet restaurants markets markets food markets markets
89707,quiet
89710,restaurants
89713,restaurants
89718,restaurants
89724,safe
89730,quiet
89731,quiet
89732,restaurants
89737,quiet
89738,food restaurants old
89755,restaurants
89760,food
89763,quiet
89764,quiet
89767,quiet
89768,quiet restaurants food
89770,old
89772,transportation restaurants
89778,restaurants
89779,safe old
89785,food
89793,restaurants
89808,quiet
89809,restaurants
89810,restaurants
89812,markets
89813,food
89814,quiet
89816,quiet safe
89818,restaurants
89825,quiet
89828,restaurants
89830,restaurants
89837,food
89844,restaurants
89848,food
89850,restaurants
89851,safe restaurants
89858,safe quiet
89868,markets
89869,safe
89873,quiet safe far restaurants
89874,restaurants restaurants
89880,restaurants restaurants
89881,restaurants
89883,markets
89901,safe safe
89902,restaurants
89905,restaurants
89908,restaurants restaurants
89910,restaurants
89911,restaurants
89933,safe
89940,restaurants food
89943,restaurants
89954,restaurants food
89955,restaurants
89963,restaurants restaurants
89967,restaurants
89970,safe restaurants
89971,restaurants restaurants
89975,food
89997,restaurants restaurants
90005,restaurants
90007,restaurants food
90011,restaurants
90016,markets
90018,restaurants
90020,food
90021,quiet
90029,restaurants
90030,restaurants
90031,restaurants food food markets
90033,quiet
90034,restaurants restaurants
90040,restaurants
90056,food
90058,restaurants
90061,transportation
90062,restaurants
90066,safe
90069,restaurants
90070,restaurants
90081,food restaurants
90082,restaurants
90084,restaurants food
90086,safe
90087,safe
90088,quiet
90094,restaurants
90101,restaurants
90106,restaurants
90112,restaurants transportation
90116,restaurants
90123,food markets
90125,restaurants
90130,restaurants
90132,restaurants
90136,restaurants
90137,quiet
90138,quiet
90140,quiet
90141,restaurants
90150,restaurants
90154,quiet restaurants
90157,safe
90160,quiet
90161,food restaurants
90164,restaurants
90168,restaurants
90170,restaurants restaurants
90173,quiet restaurants
90174,restaurants
90176,restaurants restaurants
90177,safe transportation
90178,restaurants restaurants
90185,restaurants
90191,restaurants food food
90196,food food
90198,quiet
90201,restaurants
90202,old restaurants
90203,restaurants
90206,restaurants quiet
90213,quiet restaurants
90214,safe markets
90220,restaurants restaurants
90225,restaurants
90230,restaurants
90231,restaurants quiet quiet
90232,restaurants
90238,safe
90242,restaurants food
90245,safe
90250,restaurants
90251,food
90252,restaurants food food
90261,far
90263,quiet restaurants
90280,food
90283,quiet
90290,quiet
90297,restaurants
90302,restaurants
90306,restaurants
90307,restaurants
90308,markets
90317,traffic restaurants restaurants
90329,restaurants
90334,food transportation
90335,transportation
90343,quiet
90352,food restaurants
90353,safe
90354,restaurants
90358,restaurants quiet
90359,quiet
90360,restaurants quiet food food restaurants
90365,old
90372,restaurants food food food
90377,restaurants
90378,markets restaurants
90386,restaurants
90387,quiet
90395,safe
90396,safe quiet
90398,restaurants
90402,restaurants
90403,quiet
90409,restaurants
90413,restaurants
90419,quiet
90420,restaurants
90421,old
90424,quiet
90427,restaurants
90429,safe
90434,restaurants
90438,restaurants
90439,restaurants
90442,restaurants
90446,old
90455,restaurants
90457,quiet traffic
90460,restaurants
90463,food
90467,restaurants
90468,old
90471,old food quiet
90474,restaurants
90475,restaurants
90479,restaurants
90481,old
90483,food
90486,food food
90492,food restaurants
90493,restaurants
90496,old restaurants
90502,restaurants
90504,quiet quiet restaurants food
90505,restaurants
90509,restaurants
90512,quiet restaurants restaurants
90517,restaurants
90519,restaurants
90520,far food
90521,restaurants
90538,restaurants
90544,quiet restaurants
90548,restaurants
90550,restaurants
90563,restaurants
90566,restaurants food food
90570,safe safe
90573,restaurants food
90576,markets
90585,restaurants
90591,food transportation
90592,restaurants
90598,safe
90617,restaurants
90618,restaurants
90619,restaurants
90622,restaurants
90626,restaurants
90632,quiet
90633,restaurants markets
90636,far
90642,old
90645,restaurants quiet
90646,restaurants food
90650,restaurants
90653,restaurants
90659,quiet
90660,far far far old far
90662,restaurants
90663,restaurants
90668,quiet restaurants
90672,food
90676,restaurants
90678,restaurants
90679,food
90682,restaurants
90683,restaurants
90689,restaurants
90693,restaurants
90694,restaurants markets
90696,restaurants
90699,restaurants
90704,quiet
90708,markets
90711,restaurants
90714,restaurants
90718,restaurants restaurants
90719,restaurants
90723,food
90724,restaurants
90726,restaurants
90727,markets restaurants
90730,restaurants
90731,restaurants
90745,restaurants
90747,restaurants
90756,restaurants
90758,safe
90760,restaurants
90762,restaurants
90767,food food food
90768,food restaurants
90772,restaurants
90774,restaurants
90776,restaurants
90779,restaurants
90780,restaurants
90784,restaurants
90788,restaurants
90789,restaurants restaurants
90791,restaurants
90794,restaurants restaurants
90796,food restaurants
90799,restaurants
90803,restaurants
90817,restaurants
90819,restaurants
90822,restaurants
90827,restaurants
90835,food
90836,quiet
90860,restaurants
90876,quiet food
90877,old
90883,old
90891,traffic
90897,restaurants quiet
90911,quiet
90916,restaurants restaurants quiet
90918,restaurants food
90927,restaurants safe
90938,restaurants
90941,restaurants old old markets
90945,restaurants food
90947,restaurants
90949,quiet far quiet restaurants
90961,restaurants
90967,restaurants
91006,quiet
91010,markets food
91011,far
91016,old
91019,quiet
91025,safe restaurants
91028,quiet
91037,quiet
91043,restaurants quiet
91046,safe
91049,quiet
91052,quiet far traffic
91053,restaurants food
91069,markets
91072,quiet
91073,restaurants
91079,quiet quiet
91084,restaurants
91086,quiet
91098,food food far food
91100,traffic traffic
91104,restaurants
91105,old
91116,quiet safe
91124,restaurants
91127,restaurants
91128,restaurants
91132,quiet food
91144,restaurants
91150,old traffic traffic
91163,far
91170,restaurants far
91179,quiet
91180,far
91181,restaurants
91189,safe restaurants
91190,quiet
91194,quiet restaurants
91195,quiet
91200,restaurants
91201,far
91204,restaurants
91217,old quiet
91219,old quiet
91228,transportation
91229,quiet
91231,restaurants
91248,restaurants
91261,restaurants
91262,restaurants
91264,quiet restaurants
91265,far
91273,loud
91278,quiet quiet
91289,restaurants
91297,transportation restaurants
91299,quiet
91302,restaurants food
91304,restaurants
91322,transportation food
91323,restaurants
91324,transportation restaurants
91325,far restaurants
91327,restaurants markets
91328,restaurants food
91331,restaurants
91332,quiet restaurants
91334,restaurants
91339,restaurants
91340,food
91343,food
91346,safe restaurants food
91348,old restaurants
91351,restaurants
91355,restaurants
91360,restaurants
91367,restaurants restaurants
91370,quiet
91384,traffic
91386,quiet
91391,transportation
91393,food
91398,restaurants
91410,safe
91413,transportation
91416,quiet restaurants restaurants
91421,restaurants traffic
91422,safe restaurants
91423,quiet
91425,old food
91434,quiet restaurants
91439,restaurants restaurants restaurants transportation
91441,restaurants
91442,restaurants
91447,quiet
91449,restaurants restaurants
91456,food
91474,quiet far
91493,quiet
91496,quiet restaurants
91504,restaurants
91521,safe old traffic
91551,quiet
91552,quiet
91553,quiet
91554,restaurants
